data,ampm,bool,nome,telefone,email
01/14/2021,PM,False,Gabriel Dalton,75-588966768,bhawkins@montgomery.com
10/14/2020,AM,False,Logan Hebert,18-915039247,staciemorrow@marsh.net
03/30/2020,PM,False,Mrs. Brenda Williams DDS,95-177947738,iallen@miller-holt.net
01/03/2021,AM,False,James Baldwin,12-855513085,haneyclinton@wells.info
12/21/2020,AM,True,Donna Kidd,22-469719004,robert80@abbott.com
11/25/2020,PM,False,Erika Larson,36-610729384,rosaleskenneth@walker-blankenship.com
05/15/2020,AM,False,Edward Smith,98-754276893,fsummers@crawford.com
12/04/2020,AM,False,Rebecca Rodriguez,13-380485739,claytonchristopher@hernandez.biz
11/29/2020,PM,False,Kelsey Day,32-238271638,clarktodd@brown-knapp.com
09/19/2020,AM,False,Brian Thompson,79-793922716,elewis@salinas.org
04/18/2020,AM,True,Devin Stevens,62-924409577,joann23@robertson.com
01/12/2021,AM,True,Jimmy Malone,84-602715627,greg56@davis.com
12/17/2020,PM,True,Kristin Price,58-146229720,kara75@nelson-buck.info
07/14/2020,PM,False,Katherine Wilcox,59-117809255,smithjason@leon.info
03/24/2020,PM,True,Nathan Schroeder,68-321264849,edwardhunter@ramsey.com
04/07/2020,PM,True,Sarah Finley,11-826303016,nicole05@simon.info
12/30/2020,AM,False,Kathleen Banks,78-719314221,gonzalezwilliam@johnson.com
10/08/2020,AM,True,Eduardo Woodard,89-648160392,priscillaray@gonzalez-gonzalez.com
04/05/2020,AM,True,Connie Thomas,83-326753593,paynejeremy@burke-clark.com
09/19/2020,PM,False,Lisa Woods,62-956846218,michaeljackson@gray.com
02/17/2020,AM,True,Kristine Ramsey,67-918285522,alexander82@wall.com
07/30/2020,PM,True,Adam Parker,42-211632353,reidpatricia@mosley.com
04/16/2020,AM,True,Kyle Anderson,15-696093715,jesse17@smith.com
04/24/2020,AM,False,Phillip Taylor,57-271167313,tateteresa@lindsey.org
04/30/2020,AM,True,Erin Mendoza MD,65-815509671,alejandra35@green.com
11/01/2020,PM,True,Christian Jenkins MD,26-411058051,vwilliams@weaver.info
11/14/2020,PM,True,Brandon Willis,79-876082606,james55@logan.net
12/19/2020,PM,True,Sean Stokes,33-827495423,josephweaver@wise-bowman.com
09/20/2020,PM,True,Adam Miller,23-963147407,alexacameron@munoz.net
03/29/2020,PM,False,Faith Burgess,74-041563870,wschroeder@banks-ford.com
06/13/2020,AM,True,Kathryn Stewart,25-189182100,rachel35@jacobs.com
02/11/2020,PM,True,Adam West,27-336657610,deannastanley@pitts.com
06/10/2020,PM,False,Mariah Melendez,46-276441475,flee@arias.com
06/04/2020,PM,False,Rachael Swanson,78-854604631,burnsjacob@martin.com
05/09/2020,PM,False,Derrick Frederick,37-887594097,meganrodriguez@simmons-johnson.com
02/01/2020,AM,False,Carolyn Jones,74-845483647,fgallagher@turner.net
10/19/2020,PM,True,Jon Duke,28-592703740,nicholasphillips@powers.info
04/13/2020,AM,True,Drew Weber,17-517234161,andrea92@miller.com
08/15/2020,PM,False,Mark Logan,48-728680343,william71@koch.net
04/17/2020,PM,True,Vincent Cantu,17-641748684,anita25@murphy.com
07/17/2020,PM,True,Wanda Phillips,25-544566293,wchristian@petty.com
04/09/2020,PM,False,Lance Allen,13-314145064,william38@grant-roberts.biz
10/31/2020,PM,False,Casey Page,57-994928242,michelle46@harrington.net
01/13/2021,PM,True,Jessica Griffin,16-922136037,njacobs@martin.biz
10/10/2020,AM,True,Annette Roberson,42-826702366,lanejennifer@carter.com
07/12/2020,AM,True,Carol Hays,69-591655474,fbrennan@buck-richards.com
01/28/2021,PM,True,Philip Thompson,61-923762876,aguilarjames@owens.com
06/23/2020,PM,False,Mr. Michael Miller,17-541262994,gomezpaul@patel.biz
06/21/2020,AM,False,Peggy Hall DVM,75-927745604,donald79@fritz-figueroa.org
09/02/2020,PM,False,Shannon Hughes,44-853038239,sarah66@shields.com
05/05/2020,PM,True,Troy Gray,46-806071387,stephaniewilson@jackson.com
10/02/2020,AM,True,William Hernandez,27-881352662,johnwilliams@estes.biz
06/30/2020,AM,True,Mary Mcmahon,54-492921178,chayes@lambert.info
12/21/2020,AM,True,Kevin Meyer,73-353166721,jacqueline23@hudson.com
04/26/2020,PM,True,Jeffrey Ross,44-010128046,josephsnyder@dawson.com
12/19/2020,PM,True,Kristen Jackson,15-837411677,udurham@oliver-guzman.com
04/04/2020,AM,True,Joseph Armstrong,77-904198951,amandarojas@hood.com
11/12/2020,PM,True,Lawrence Adams,75-393291990,fwelch@rodriguez-everett.org
04/19/2020,PM,False,Ethan Moore,12-724752771,ecardenas@king.info
05/29/2020,AM,True,Jamie Reese,29-740594584,ronald87@gamble-acosta.org
04/01/2020,AM,False,Luis Watson,91-479828056,thomas69@carrillo.info
10/20/2020,AM,True,Brandon Sanchez,41-740044002,eromero@lucero.com
08/22/2020,AM,False,Rebecca Clark,44-215886193,megan05@sutton.com
10/27/2020,AM,True,Edward Mason,52-606861224,christophervargas@lee-dunn.com
01/01/2021,PM,False,Jennifer Stokes,98-800165979,mariah60@smith.com
06/05/2020,PM,False,Sabrina Oconnor,14-119260554,jasonjoseph@lewis-farrell.com
04/16/2020,AM,False,Heather Campbell,84-853907968,xmoreno@becker-morris.info
02/21/2020,PM,True,Travis Jackson,34-630642987,jacobrice@chan.info
01/24/2021,AM,False,Charles Burton,87-545884397,aadams@hill.com
06/02/2020,PM,True,Darius Eaton,79-944462474,francisco78@arias.net
04/18/2020,PM,False,Brandy Williamson,63-790261727,gardnersierra@munoz-wolf.com
10/19/2020,PM,False,Anna Williams,13-557815037,natashahoover@wilson.com
01/06/2021,AM,True,Kevin Stanley,59-383628023,stephenmiller@sullivan-lawrence.com
06/11/2020,PM,True,Troy Pittman,41-813832748,jennifer66@brown.biz
12/26/2020,PM,False,Sherry Stewart,77-214313645,benjamin99@hawkins.com
06/27/2020,AM,True,Sara Hunter,33-592159481,woodjenna@lane.com
01/07/2020,AM,False,Harold Craig,56-502487440,xgriffin@marshall.biz
02/10/2020,PM,True,Roger Townsend,16-832903715,dianahernandez@brown-davenport.net
09/10/2020,AM,True,Bryan Holmes,83-085174172,susandickson@taylor-lewis.net
01/30/2021,AM,True,Daisy Smith DVM,73-400149745,deborahcherry@chen.com
08/11/2020,AM,False,Heather Smith,76-209845315,terri63@robinson.org
02/19/2020,PM,True,William Mendoza,64-739710091,freemanmiguel@pratt.com
06/19/2020,PM,True,Michael Mack,73-988724393,sanchezwilliam@santana.com
03/16/2020,AM,False,John Estrada,67-837607481,johnsonemily@duran.com
12/04/2020,PM,True,Alexander Stevenson,72-762726078,michael08@brady-munoz.org
