_id,first_name,last_name,email,ultimo_pagamento,status,pagamento
0,Francisco,Nogueira,francisco_nogueira@da.com,2022-04-01,inativo,inadinplente
1,Ana Julia,Jesus,ana_julia_jesus@uol.com.br,2022-03-27,inativo,em dia
2,Guilherme,Monteiro,guilherme_monteiro@santos.com,2022-04-03,ativo,inadinplente
3,Joana,Pinto,joana_pinto@yahoo.com.br,2022-03-16,inativo,em dia
4,Stella,da Cruz,stella_da_cruz@ig.com.br,2022-03-28,ativo,inadinplente
5,Luna,da Cunha,luna_da_cunha@martins.br,2022-04-02,inativo,inadinplente
6,João Guilherme,Barbosa,joão_guilherme_barbosa@aragao.com,2022-03-29,ativo,em dia
7,Ana Júlia,Moraes,ana_júlia_moraes@moraes.br,2022-03-27,ativo,em dia
8,João Lucas,Alves,joão_lucas_alves@bol.com.br,2022-03-31,inativo,em dia
9,Kevin,Dias,kevin_dias@sales.org,2022-04-02,ativo,inadinplente
10,Pietro,Correia,pietro_correia@barros.br,2022-04-02,ativo,inadinplente
11,João,Sales,joão_sales@costela.org,2022-03-25,ativo,em dia
12,Rebeca,Ramos,rebeca_ramos@gmail.com,2022-03-26,ativo,inadinplente
13,Nathan,da Luz,nathan_da_luz@ig.com.br,2022-03-31,ativo,inadinplente
14,Emilly,Novaes,emilly_novaes@ribeiro.com,2022-04-01,inativo,em dia
15,Lucas Gabriel,Santos,lucas_gabriel_santos@gmail.com,2022-04-03,ativo,em dia
16,Alexia,Novaes,alexia_novaes@goncalves.br,2022-03-28,inativo,inadinplente
17,Nina,Silva,nina_silva@martins.com,2022-03-26,ativo,em dia
18,Bruno,Pereira,bruno_pereira@farias.org,2022-03-20,inativo,em dia
19,Manuela,Barbosa,manuela_barbosa@da.br,2022-03-24,inativo,em dia
20,Rebeca,das Neves,rebeca_das_neves@uol.com.br,2022-04-03,ativo,em dia
21,João Guilherme,Pereira,joão_guilherme_pereira@gmail.com,2022-04-02,ativo,
22,Ana Luiza,Peixoto,ana_luiza_peixoto@ig.com.br,2022-03-25,inativo,em dia
23,Alana,Sales,alana_sales@uol.com.br,2022-04-03,inativo,em dia
24,Augusto,Pires,augusto_pires@uol.com.br,2022-04-02,inativo,em dia
25,Breno,Alves,breno_alves@ig.com.br,2022-03-25,ativo,em dia
26,Fernanda,Viana,fernanda_viana@gmail.com,2022-03-26,ativo,inadinplente
27,Luiz Otávio,Martins,luiz_otávio_martins@martins.net,2022-03-30,ativo,em dia
28,Lucca,Novaes,lucca_novaes@hotmail.com,2022-03-18,ativo,em dia
29,Vicente,Campos,vicente_campos@gmail.com,2022-04-03,inativo,em dia
30,Pietra,Alves,pietra_alves@gmail.com,2022-03-30,ativo,inadinplente
31,Amanda,Lima,amanda_lima@bol.com.br,2022-03-24,ativo,inadinplente
32,Enrico,Aragão,enrico_aragão@da.net,2022-03-15,ativo,inadinplente
33,Milena,Aragão,milena_aragão@ig.com.br,2022-04-01,ativo,inadinplente
34,Lucas,Melo,lucas_melo@rocha.org,2022-04-02,ativo,em dia
35,Ana Sophia,Campos,ana_sophia_campos@da.br,2022-03-25,inativo,em dia
36,Ana Vitória,Correia,ana_vitória_correia@das.com,2022-03-22,ativo,em dia
37,Francisco,da Cunha,francisco_da_cunha@caldeira.com,2022-03-26,inativo,inadinplente
38,Isaac,Moraes,isaac_moraes@ig.com.br,2022-03-30,inativo,em dia
39,Ana,Araújo,ana_araújo@gmail.com,2022-03-20,inativo,inadinplente
40,Thomas,Santos,thomas_santos@moraes.br,2022-04-01,ativo,inadinplente
41,André,Barbosa,andré_barbosa@freitas.org,2022-04-01,inativo,em dia
42,Mariane,Fogaça,mariane_fogaça@hotmail.com,2022-03-31,ativo,inadinplente
43,Emanuel,Monteiro,emanuel_monteiro@uol.com.br,2022-04-03,inativo,inadinplente
44,Gustavo Henrique,Costela,gustavo_henrique_costela@ferreira.com,2022-04-03,ativo,em dia
45,Vitória,da Rosa,vitória_da_rosa@hotmail.com,2022-03-30,ativo,inadinplente
46,Samuel,Cardoso,samuel_cardoso@almeida.com,2022-03-24,inativo,em dia
47,João Felipe,da Rocha,joão_felipe_da_rocha@bol.com.br,2022-04-02,ativo,em dia
